[2018-25-01:09:19:59] || Action for User : KREDIT1 Menambah Data Nasabah 2000VD Oleh KREDIT1 || IP asli : 192.168.10.1 || Browser : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36 || URL : /nabasa/new_nasabah23.php?p=1 ||Referrer : http://192.168.10.250/nabasa/menu.php ||Proxy : 192.168.10.1

[2018-25-01:09:25:47] || Action for User : KREDIT1 Menambah Data Nasabah 2000WQ Oleh KREDIT1 || IP asli : 192.168.10.1 || Browser : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36 || URL : /nabasa/new_nasabah23.php?p=1 ||Referrer : http://192.168.10.250/nabasa/menu.php ||Proxy : 192.168.10.1

[2018-25-01:09:32:34] || Action for User : KREDIT1 Menambah Data Nasabah 2000HX Oleh KREDIT1 || IP asli : 192.168.10.1 || Browser : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36 || URL : /nabasa/new_nasabah23.php?p=1 ||Referrer : http://192.168.10.250/nabasa/menu.php ||Proxy : 192.168.10.1

[2018-25-01:09:33:10] Action for User : ADMIN Masuk Ke Menu Aplikasi || IP asli : 192.168.10.1 || Browser : Mozilla/5.0 (Linux; Android 7.0; MI MAX Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36 || URL : /nabasa/prosesmasuk.php ||Referrer : http://192.168.10.250/nabasa/ ||Proxy : 192.168.10.1

[2018-25-01:09:34:15] || Action for User : ADMIN Menambah User KREDIT3 || IP asli : 192.168.10.1 || Browser : Mozilla/5.0 (Linux; Android 7.0; MI MAX Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36 || URL : /nabasa/tabelusers.php?p=1 ||Referrer : http://192.168.10.250/nabasa/menu.php ||Proxy : 192.168.10.1

[2018-25-01:09:34:17] Action for User : ADMIN Keluar Dari Aplikasi || IP asli : 192.168.10.1 || Browser : Mozilla/5.0 (Linux; Android 7.0; MI MAX Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36 || URL : /nabasa/logout.php ||Referrer : http://192.168.10.250/nabasa/menu.php ||Proxy : 192.168.10.1

[2018-25-01:09:38:22] Action for User : ADMIN Masuk Ke Menu Aplikasi || IP asli : 192.168.10.1 || Browser : Mozilla/5.0 (Linux; Android 7.0; MI MAX Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36 || URL : /nabasa/prosesmasuk.php ||Referrer : http://192.168.10.250/nabasa/index.php ||Proxy : 192.168.10.1

[2018-25-01:09:38:36] || Action for User : ADMIN Menonaktifkan ID User 24 || IP asli : 192.168.10.1 || Browser : Mozilla/5.0 (Linux; Android 7.0; MI MAX Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36 || URL : /nabasa/tabelusers.php?id=24&p=4 ||Referrer : http://192.168.10.250/nabasa/menu.php ||Proxy : 192.168.10.1

